Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_PvEBlockedExplosives,"PvE Blocked Explosive DMG","PvE Blocked Explosives DMG","PvE Blocked Explosive DMG","PvE Blocked Explosive DMG","Блокировать урон от взрыва в PVE","Blokowanie obrażeń od wybuchu w PvE","PvE Blocked Explosive DMG","PvE Blocked Explosive DMG","PvE Blocked Explosive DMG","DMG des explosifs bloqués PvE","PvE Blocked Explosive DMG","PvE Blocked Explosive DMG","PvE Blocked Explosive DMG","PVE 阻挡爆炸伤害",
STR_DisallowedVehiclesPanelRules,"Disallowed Vehicles","Disallowed Vehicles","Disallowed Vehicles","Disallowed Vehicles","Запр. транспортные средства","Zakazane środki transportu","Disallowed Vehicles","Disallowed Vehicles","Disallowed Vehicles","Véhicules non autorisés","Disallowed Vehicles","Disallowed Vehicles","Disallowed Vehicles","禁止载具",
STR_BypassZoneChecksGrenades,"Bypass Grenade Zone Checks","Bypass Grenade Zone Checks","Bypass Grenade Zone Checks","Bypass Grenade Zone Checks","Обход ограничений на гранаты","Obchodzenie ograniczeń dotyczących granatów","Bypass Grenade Zone Checks","Bypass Grenade Zone Checks","Bypass Grenade Zone Checks","Ignorer Contrôle Zone grenade","Bypass Grenade Zone Checks","Bypass Grenade Zone Checks","Bypass Grenade Zone Checks","绕过手榴弹区域检查",
STR_CantBeDamagedOnGround,"Cant be Damaged On Ground","Cant be Damaged On Ground","Cant be Damaged On Ground","Cant be Damaged On Ground","Поверх-ть не подвержена повр-ям","Powierzchnia niepodatna na uszkodzenia","Cant be Damaged On Ground","Cant be Damaged On Ground","Cant be Damaged On Ground","Ne peut être endommagé au sol","Cant be Damaged On Ground","Cant be Damaged On Ground","Cant be Damaged On Ground","不能在地面上损坏",
STR_ItemRulesEdit,"Item Rules Editor","Item Rules Editor","Item Rules Editor","Item Rules Editor","Настр. предметов","Konfiguracja przedmiotów","Item Rules Editor","Item Rules Editor","Item Rules Editor","Édition Règles Objets","Item Rules Editor","Item Rules Editor","Item Rules Editor","物品规则编辑",
STR_RemoveItem,"Remove Item","Remove Item","Remove Item","Remove Item","Удалить предмет","Usunięcie przedmiotu","Remove Item","Remove Item","Remove Item","Supprimer un objet","Remove Item","Remove Item","Remove Item","删除物品",
STR_ItemSearch,"Item Search","Item Search","Item Search","Item Search","Поиск предмета","Wyszukiwanie przedmiotu","Item Search","Item Search","Item Search","Recherche d'objets","Item Search","Item Search","Item Search","搜索物品",
STR_AddToExplosives,"Explosives","Explosives","Explosives","Explosives","Взрывчатка","Materiały wybuchowe","Explosives","Explosives","Explosives","Explosifs","Explosives","Explosives","Explosives","爆炸",
STR_AddToVehicles,"Vehicles","Vehicles","Vehicles","Vehicles","Транспорт","Transport","Vehicles","Vehicles","Vehicles","Véhicules","Vehicles","Vehicles","Vehicles","载具",
STR_AddToGrenades,"Grenades","Grenades","Grenades","Grenades","Гранаты","Granaty","Grenades","Grenades","Grenades","Grenades","Grenades","Grenades","Grenades","手雷",
STR_AddToCantBeDamagedOnGround,"Cant be Damaged Ground","Cant be Damaged Ground","Cant be Damaged Ground","Cant be Damaged Ground","Поверх-ть не подвержена повр-ям","Powierzchnia niepodatna na uszkodzenia","Cant be Damaged Ground","Cant be Damaged Ground","Cant be Damaged Ground","Ne peut être endommagé au sol","Cant be Damaged Ground","Cant be Damaged Ground","Cant be Damaged Ground","不能破坏地面",
